event_id,trigger_time_utc,goes_file,goes_time_utc,delta_goes_min,match_status
ATTO_2025_0034,2025-01-02 15:34:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501021530.nc,2025-01-02 15:30:00,-4.0,ok
ATTO_2025_0035,2025-01-02 16:55:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501021650.nc,2025-01-02 16:50:00,-5.0,ok
ATTO_2025_0036,2025-01-02 18:21:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501021820.nc,2025-01-02 18:20:00,-1.0,ok
ATTO_2025_0037,2025-01-02 18:39:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501021840.nc,2025-01-02 18:40:00,1.0,ok
ATTO_2025_0038,2025-01-02 18:56:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501021900.nc,2025-01-02 19:00:00,4.0,ok
ATTO_2025_0039,2025-01-02 21:14:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501022110.nc,2025-01-02 21:10:00,-4.0,ok
ATTO_2025_0040,2025-01-02 21:58:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501022200.nc,2025-01-02 22:00:00,2.0,ok
ATTO_2025_0041,2025-01-02 22:16:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501022220.nc,2025-01-02 22:20:00,4.0,ok
ATTO_2025_0042,2025-01-02 22:43:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501022240.nc,2025-01-02 22:40:00,-3.0,ok
ATTO_2025_0043,2025-01-02 23:18:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501022320.nc,2025-01-02 23:20:00,2.0,ok
ATTO_2025_0044,2025-01-02 23:44:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501022340.nc,2025-01-02 23:40:00,-4.0,ok
ATTO_2025_0045,2025-01-03 00:25:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030020.nc,2025-01-03 00:20:00,-5.0,ok
ATTO_2025_0046,2025-01-03 03:47:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030350.nc,2025-01-03 03:50:00,3.0,ok
ATTO_2025_0047,2025-01-03 04:05:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030400.nc,2025-01-03 04:00:00,-5.0,ok
ATTO_2025_0048,2025-01-03 04:22:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030420.nc,2025-01-03 04:20:00,-2.0,ok
ATTO_2025_0049,2025-01-03 06:05:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030600.nc,2025-01-03 06:00:00,-5.0,ok
ATTO_2025_0050,2025-01-03 06:44:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030640.nc,2025-01-03 06:40:00,-4.0,ok
ATTO_2025_0051,2025-01-03 08:02:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030800.nc,2025-01-03 08:00:00,-2.0,ok
ATTO_2025_0052,2025-01-03 09:24:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501030920.nc,2025-01-03 09:20:00,-4.0,ok
ATTO_2025_0053,2025-01-03 10:37:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501031040.nc,2025-01-03 10:40:00,3.0,ok
ATTO_2025_0054,2025-01-03 11:04:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501031100.nc,2025-01-03 11:00:00,-4.0,ok
ATTO_2025_0055,2025-01-03 11:30:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501031130.nc,2025-01-03 11:30:00,0.0,ok
ATTO_2025_0056,2025-01-03 14:31:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501031430.nc,2025-01-03 14:30:00,-1.0,ok
ATTO_2025_0057,2025-01-03 15:33:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501031530.nc,2025-01-03 15:30:00,-3.0,ok
ATTO_2025_0058,2025-01-03 16:53:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501031650.nc,2025-01-03 16:50:00,-3.0,ok
ATTO_2025_0059,2025-01-03 18:52:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501031850.nc,2025-01-03 18:50:00,-2.0,ok
ATTO_2025_0060,2025-01-03 23:08:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501032310.nc,2025-01-03 23:10:00,2.0,ok
ATTO_2025_0061,2025-01-03 23:56:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501040000.nc,2025-01-04 00:00:00,4.0,ok
ATTO_2025_0062,2025-01-04 00:10:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501040010.nc,2025-01-04 00:10:00,0.0,ok
ATTO_2025_0063,2025-01-04 03:50:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501040350.nc,2025-01-04 03:50:00,0.0,ok
ATTO_2025_0064,2025-01-04 04:16:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501040420.nc,2025-01-04 04:20:00,4.0,ok
ATTO_2025_0065,2025-01-04 05:06:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501040510.nc,2025-01-04 05:10:00,4.0,ok
