event_id,trigger_time_utc,goes_file,goes_time_utc,delta_goes_min,match_status
ATTO_2025_3365,2025-06-15 07:30:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-98700.0,fora_tolerancia
ATTO_2025_3366,2025-06-15 07:42:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-98712.0,fora_tolerancia
ATTO_2025_3367,2025-06-15 10:44:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-98894.0,fora_tolerancia
ATTO_2025_3368,2025-06-15 12:10:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-98980.0,fora_tolerancia
ATTO_2025_3369,2025-06-15 13:08:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99038.0,fora_tolerancia
ATTO_2025_3370,2025-06-15 13:19:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99049.0,fora_tolerancia
ATTO_2025_3371,2025-06-15 14:55:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99145.0,fora_tolerancia
ATTO_2025_3372,2025-06-15 15:10:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99160.0,fora_tolerancia
ATTO_2025_3373,2025-06-15 15:32:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99182.0,fora_tolerancia
ATTO_2025_3374,2025-06-15 16:24:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99234.0,fora_tolerancia
ATTO_2025_3375,2025-06-15 17:00:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99270.0,fora_tolerancia
ATTO_2025_3376,2025-06-15 17:22:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99292.0,fora_tolerancia
ATTO_2025_3377,2025-06-15 18:14:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99344.0,fora_tolerancia
ATTO_2025_3378,2025-06-15 18:33:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/04/S10635346_202504071830.nc,2025-04-07 18:30:00,-99363.0,fora_tolerancia
